country,value
8,94.52966
12,97.63517
28,95.69547
31,92.42467
32,99.184
36,96.38096
40,88.61718
44,74.22717
48,96.71489
51,90.72273
52,96.69287
56,98.76482
64,88.02597
68,92.85137
76,96.29925
84,95.94237
90,67.47257
96,93.14673
100,86.4454
104,97.93192
108,92.8047
112,94.92861
116,90.26554
120,92.87395
124,99.8825
132,93.42191
144,99.10711
148,73.15289
152,94.74067
170,92.91999
174,80.75383
188,97.33255
191,88.0407
192,97.73994
196,97.49342
203,89.3503
204,97.21103
208,98.53748
212,95.42178
214,92.71356
218,90.94167
222,80.99537
232,51.45515
233,93.68129
242,96.76212
246,98.62944
250,98.92727
262,66.48037
268,96.43624
270,76.81635
275,94.84281
276,90.14286
288,86.15823
292,99.70191
296,94.69278
300,98.22037
308,95.86628
320,86.88631
324,76.01588
340,80.09489
344,95.45476
348,90.83399
352,99.83367
360,93.4963
364,99.70291
372,95.78041
376,97.01884
380,95.65574
384,90.32837
388,81.0188
398,86.85584
400,80.8644
410,97.25516
414,82.63321
417,89.85774
418,91.46712
426,93.31062
428,96.30354
430,44.25563
438,92.1204
440,98.17529
442,95.03083
446,96.39553
450,95.60378
458,99.64564
462,95.4151
466,58.94142
470,99.53764
478,79.5744
480,94.80512
484,95.30064
496,97.69756
498,86.31417
499,96.54847
504,99.09904
508,93.92934
512,86.25355
516,97.48892
520,93.69858
524,96.2984
528,98.64765
554,99.11677
562,65.12458
578,99.88251
584,73.15121
586,67.5748
591,86.23979
598,73.65048
604,95.65167
608,93.7756
616,95.78475
620,97.56411
626,92.30953
630,76.27147
634,94.09431
642,82.22835
643,95.09612
646,94.78978
659,93.7852
662,95.39814
670,93.58439
678,93.0763
682,94.5456
686,75.3821
688,94.55098
690,92.21011
694,98.11179
702,99.66959
703,83.09318
705,98.26288
710,87.01258
724,97.27171
729,60.00534
740,86.02531
748,82.52357
752,99.18177
756,93.19583
762,98.28703
768,90.73097
784,95.02753
792,87.90006
798,76.2475
807,94.8883
818,97.03257
826,99.49182
834,81.32921
840,94.62633
854,78.64517
858,99.3775
860,94.59704
862,87.39174
882,94.41308
887,84.16556
894,83.16745
