country,value
4,15.6613798141479
8,12.3908004760742
20,19.3230590820313
31,7.43546009063721
32,13.2639198303223
36,13.6134099960327
40,10.9501600265503
48,7.18034982681274
50,9.27375030517578
51,10.4031295776367
52,12.879150390625
56,12.4903297424316
60,7.77346992492676
64,22.7664604187012
76,16.5123596191406
84,21.3652896881104
96,11.4419498443604
100,12.7309503555298
104,10.4575099945068
108,19.9198703765869
112,12.2816896438599
116,8.83897972106934
120,16.8831596374512
132,16.4125804901123
144,11.3308897018433
148,16.3627490997314
152,21.3115501403809
170,15.9826202392578
178,15.5676803588867
180,14.006420135498
188,26.086669921875
191,8.66158962249756
196,15.872389793396
203,9.89634037017822
204,17.7091808319092
208,15.2576198577881
212,9.43117046356201
222,14.9449996948242
233,12.7503004074097
246,11.868860244751
250,9.67858028411865
262,13.991530418396
268,12.9514999389648
270,11.1882696151733
276,11.0426301956177
288,18.5981693267822
308,14.0411701202393
320,24.2130393981934
324,14.8701200485229
328,15.9973802566528
332,14.4403495788574
340,22.9543590545654
344,20.3145904541016
348,10.0693397521973
352,17.6902809143066
364,21.145679473877
372,13.468939781189
376,15.718279838562
380,8.31396007537842
384,18.3316707611084
388,17.3139896392822
392,8.37887954711914
398,13.8801803588867
400,10.0449199676514
404,19.1040306091309
417,15.7302598953247
426,13.893030166626
428,11.9676303863525
430,8.0626802444458
440,11.8243398666382
442,8.53404998779297
446,14.6670303344727
450,19.8182201385498
454,15.7802000045776
458,17.9357490539551
462,11.2815103530884
466,16.534330368042
470,13.4686498641968
478,9.54549026489258
480,18.676929473877
484,17.5767307281494
492,6.98062992095947
496,12.6456203460693
498,17.4610996246338
508,17.8806095123291
524,14.1018695831299
528,12.1925296783447
533,21.3665504455566
548,12.6920795440674
554,16.6553592681885
558,17.9195804595947
562,16.781120300293
578,16.013650894165
584,15.0427398681641
586,14.5447797775269
598,8.72523975372314
600,18.1543197631836
604,17.4912891387939
616,11.0591096878052
620,11.0580396652222
626,7.93410015106201
634,8.57734966278076
642,10.0526504516602
643,13.4650802612305
646,10.8046102523804
662,14.3638601303101
670,18.8118991851807
674,13.9980201721191
678,20.1165409088135
686,21.5294094085693
688,8.80428028106689
690,11.7234296798706
694,33.8590888977051
703,9.76161956787109
704,14.4682998657227
705,12.0229997634888
710,19.450590133667
716,19.0398406982422
724,10.2250900268555
728,0.875440001487732
752,15.7983999252319
756,15.577449798584
768,21.7690906524658
795,22.8432102203369
796,12.1232995986938
800,10.917010307312
804,13.051420211792
826,14.1902799606323
834,20.5600109100342
854,22.661169052124
858,15.1999702453613
860,23.0309104919434
882,10.4792203903198
894,17.0480098724365
