country,value
4,6.6555611518
8,2.2894924438
16,5.3822278835
31,2.2011074485
32,5.3244787387
36,0.89163240342
40,0.96722860774
44,31.958171469
50,2.3733287962
51,1.693915557
52,9.7683505442
56,1.6900542148
60,8.1428850908
64,1.193007386
68,6.2183744444
70,1.1733102602
76,27.382530291
84,37.788570288
100,1.3046665939
104,2.2584513256
108,6.0545373656
112,2.3908727902
120,1.388093415
124,1.755921136
132,6.8044225068
140,20.120400654
144,2.4212436336
152,4.4048944838
156,0.52709078934
170,25.343802597
188,11.261254504
191,0.57742179724
192,5.0462686372
196,1.2612864112
203,0.62024059321
204,1.1274974068
208,1.0083219593
212,26.588301147
214,10.04973395
218,5.8006273457
222,52.018926167
233,2.1165412994
246,1.6296716121
250,1.1986365025
268,2.2233624935
275,0.49352474965
276,0.9479766191
288,2.0912410173
300,0.94086394499
304,5.318394554
308,10.823096488
320,22.501348718
328,14.248909188
332,6.67974266
340,38.925591104
344,0.65113634144
348,2.4871986353
352,0.89096913683
356,3.0792324418
360,0.43453458884
372,0.8716054599
376,1.492021506
380,0.5690506607
388,43.852281528
392,0.26257409562
398,5.06083427
400,1.3591066275
404,4.9287280243
410,0.60384939332
417,2.1890776131
422,2.4929265033
428,4.3558049657
438,2.6372698982
440,4.5693560421
442,0.33788692276
446,0.3166395676
470,1.5936073579
480,2.9198600992
484,29.071061625
496,6.1825479289
498,4.0967929022
499,2.2299989009
504,1.4155228849
512,0.26918034172
524,2.2997839964
528,0.58618158968
554,0.74435950948
558,7.1859479027
566,34.524045903
578,0.46834371183
585,11.166322372
586,3.8830827302
591,9.3850224618
600,7.1448399951
604,7.9092238628
608,6.4649881651
616,0.73045470014
620,0.78976680624
624,1.1487047533
630,21.088314968
642,1.2816496985
643,8.209475626
662,21.441530595
663,27.730789496
670,36.540692629
682,1.2658157867
688,1.2268905787
690,12.537743833
702,0.15631776484
703,1.1369852689
705,0.48126993661
710,35.9
724,0.62107992821
740,5.433820449
748,11.55752804
752,1.0830726772
756,0.58646802447
760,0.87931221497
764,2.5820036484
784,0.4637824877
792,2.5904756723
800,10.524460278
804,6.1837305712
807,1.2002168072
826,1.2049147774
833,0
834,6.4826575903
840,4.9569505476
854,1.2504405198
858,12.060453021
860,1.1358027751
862,36.687634837
